id	k	kh	g	gh	ṅ	c	ch	j	jh	ñ	ṭ	ṭh	ḍ	ḍh	ṇ	t	th	d	dh	n		p	ph	b	bh	m	y		r		l			v	ś	ṣ	s	h
tai_tham	ᨠ	ᨡ			ᨦ	ᨧ	ᨨ			ᨬ	ᨭ	ᨮ	ᨯ	ᨰ	ᨱ	ᨲ	ᨳ	ᨴ	ᨵ	ᨶ		ᨸ	ᨹ	ᨷ		ᨾ			ᨿ		ᩁ			ᩄ		ᩇ	ᩈ	ᩉ
modi	𑘘	𑘙	𑘚	𑘛	𑘜	𑘝	𑘞	𑘟	𑘠	𑘡	𑘢	𑘣	𑘤	𑘥	𑘦	𑘧	𑘨	𑘩	𑘪	𑘫		𑘬	𑘭	𑘮	𑘯	𑘰	𑘱		𑘲		𑘴			𑘵	𑘶	𑘷	𑘸	𑘹
newa	𑐎	𑐏	𑐐	𑐑	𑐒	𑐓	𑐔	𑐕	𑐖	𑐗	𑐘	𑐙	𑐚	𑐛	𑐜	𑐝	𑐞	𑐟	𑐠	𑐡		𑐢	𑐣	𑐤	𑐥	𑐦	𑐧		𑐨		𑐩			𑐫	𑐬	𑐭	𑐮	𑐯
takri	𑚊	𑚋	𑚌	𑚍	𑚎	𑚏	𑚐	𑚑	𑚒	𑚓	𑚔	𑚕	𑚖	𑚗	𑚘	𑚙	𑚚	𑚛	𑚜	𑚝		𑚞	𑚟	𑚠	𑚡	𑚢	𑚣		𑚤		𑚥			𑚦	𑚧		𑚨	𑚩
khojki	𑈈	𑈉	𑈊	𑈌	𑈍	𑈎	𑈏	𑈐		𑈓	𑈔	𑈕	𑈖	𑈗	𑈘	𑈙	𑈚	𑈛	𑈝	𑈞		𑈟	𑈠	𑈡	𑈣	𑈤	𑈥		𑈦		𑈧			𑈨			𑈩	𑈪
hanunuo	ᜣ		ᜤ		ᜥ											ᜦ		ᜧ		ᜨ		ᜩ		ᜪ		ᜫ	ᜬ		ᜭ		ᜮ			ᜯ			ᜰ	ᜱ
buhid	ᝃ		ᝄ		ᝅ											ᝆ		ᝇ		ᝈ		ᝉ		ᝊ		ᝋ	ᝌ		ᝍ		ᝎ			ᝏ			ᝐ	ᝑ
tagbanwa	ᝣ		ᝤ		ᝥ											ᝦ		ᝧ		ᝨ		ᝩ		ᝪ		ᝫ	ᝬ				ᝮ			ᝯ			ᝰ	
mon	က	ခ	ဂ	ဃ	င	စ	ဆ	ဇ	ဈ	ဉ	ဋ	ဌ	ဍ	ဎ	ဏ	တ	ထ	ဒ	ဓ	န		ပ	ဖ	ဗ	ဘ	မ	ယ		ရ		လ	ဠ		ဝ	ၐ	ၑ	သ	ဟ
ahom	𑜀	𑜁	𑜕	𑜗	𑜂	𑜠	𑜋	𑜊	𑜙	𑜐	𑜡	𑜢	𑜣	𑜤	𑜥	𑜄	𑜌	𑜓	𑜔	𑜃		𑜆	𑜇	𑜈	𑜘	𑜉			𑜍		𑜎	𑜦					𑜏	𑜑
tai_viet	ꪀ	ꪂ	ꪆ		ꪈ	ꪊ	ꪌ			ꪐ						ꪔ	ꪖ	ꪒ		ꪘ		ꪜ	ꪞ	ꪚ		ꪢ	ꪤ		ꪦ		ꪨ			ꪪ			ꪎ	ꪬ
new_tai_lue	ᦂ	ᦃ			ᦄ	ᦈ										ᦎ	ᦏ	ᦡ		ᦐ		ᦔ	ᦕ	ᦢ		ᦖ	ᦊ				ᦜ			ᦛ			ᦉ	ᦠ
rejang	ꤰ		ꤱ		ꤲ	ꤹ		ꤺ		ꤻ						ꤳ		ꤴ		ꤵ		ꤶ		ꤷ		ꤸ	ꤿ		ꤽ		ꤾ			ꥀ			ꤼ	ꥁ
soyombo	𑩜	𑩝	𑩞	𑩟	𑩠	𑩡	𑩢	𑩣	𑩤	𑩥	𑩦	𑩧	𑩨	𑩩	𑩪	𑩫	𑩬	𑩭	𑩮	𑩯		𑩰	𑩱	𑩲	𑩳	𑩴	𑩻		𑩼		𑩽			𑩾	𑩿	𑪀	𑪁	𑪂
zanabazar_square	𑨋	𑨌	𑨍	𑨎	𑨏	𑨐	𑨑	𑨒		𑨓	𑨔	𑨕	𑨖	𑨗	𑨘	𑨙	𑨚	𑨛	𑨜	𑨝		𑨞	𑨟	𑨠	𑨡	𑨢	𑨪		𑨫		𑨬			𑨭	𑨮	𑨯	𑨰	𑨱
proto_sinaitic	/img/proto_sinaitic/k.svg		/img/proto_sinaitic/g.svg													/img/proto_sinaitic/t.svg		/img/proto_sinaitic/d.svg		/img/proto_sinaitic/n.svg		/img/proto_sinaitic/p.svg				/img/proto_sinaitic/m.svg	/img/proto_sinaitic/y.svg		/img/proto_sinaitic/r.svg		/img/proto_sinaitic/l.svg			/img/proto_sinaitic/v.svg			/img/proto_sinaitic/s.svg	/img/proto_sinaitic/h.svg
vatteluttu	/img/vatteluttu/k.png					/img/vatteluttu/c.png										/img/vatteluttu/t.png				/img/vatteluttu/n.png		/img/vatteluttu/p.png				/img/vatteluttu/m.png	/img/vatteluttu/y.png		/img/vatteluttu/r.png		/img/vatteluttu/l.png			/img/vatteluttu/v.png				
tulu_tigalari	𑎀	𑎁	𑎂	𑎃	𑎄	𑎅	𑎆	𑎇	𑎈	𑎉	𑎊	𑎋	𑎌	𑎍	𑎎	𑎏	𑎐	𑎑	𑎒	𑎓		𑎖	𑎗	𑎘	𑎙	𑎚	𑎜		𑎝		𑎞			𑎡	𑎢	𑎣	𑎤	𑎥
